,detention_facility_code,name,address,city,county,county_fips_code,core_based_statistical_area,core_based_statistical_area_code,core_based_statistical_area_type,combined_statistical_area,combined_statistical_area_code,state,state_fips_code,zip,address_full,latitude,longitude,field_office,federal_court_district_of_confinement,federal_court_circuit_of_confinement,days_with_detentions_daily_last_year,days_with_detentions_midnight_last_year,average_daily_population_last_year,average_midnight_population_last_year,max_daily_population_last_year,max_midnight_population_last_year,geometry,n_detained,n_detained_at_midnight,n_detained_male,n_detained_female,n_detained_convicted_criminal,n_detained_possibly_under_18,detention_facility,EJAM Report,EJSCREEN Map,ejam_uniq_id,valid,invalid_msg,pop,lon,lat,ST,statename,in_how_many_states,REGION,ratio.to.avg.Demog.Index,ratio.to.avg.Demog.Index.Supp,ratio.to.avg.pctlowinc,ratio.to.avg.pctlingiso,ratio.to.avg.pctunemployed,ratio.to.avg.pctlths,ratio.to.avg.pctunder5,ratio.to.avg.pctover64,ratio.to.avg.pctmin,ratio.to.avg.pcthisp,ratio.to.avg.pctnhba,ratio.to.avg.pctnhaa,ratio.to.avg.pctnhaiana,ratio.to.avg.pctnhnhpia,ratio.to.avg.pctnhotheralone,ratio.to.avg.pctnhmulti,ratio.to.avg.pctnhwa,ratio.to.avg.pm,ratio.to.avg.o3,ratio.to.avg.no2,ratio.to.avg.dpm,ratio.to.avg.rsei,ratio.to.avg.traffic.score,ratio.to.avg.pctpre1960,ratio.to.avg.proximity.npl,ratio.to.avg.proximity.rmp,ratio.to.avg.proximity.tsdf,ratio.to.avg.ust,ratio.to.avg.proximity.npdes,ratio.to.avg.drinking,ratio.to.avg.pctdisability,ratio.to.avg.lowlifex,ratio.to.state.avg.Demog.Index,ratio.to.state.avg.Demog.Index.Supp,ratio.to.state.avg.pctlowinc,ratio.to.state.avg.pctlingiso,ratio.to.state.avg.pctunemployed,ratio.to.state.avg.pctlths,ratio.to.state.avg.pctunder5,ratio.to.state.avg.pctover64,ratio.to.state.avg.pctmin,ratio.to.state.avg.pcthisp,ratio.to.state.avg.pctnhba,ratio.to.state.avg.pctnhaa,ratio.to.state.avg.pctnhaiana,ratio.to.state.avg.pctnhnhpia,ratio.to.state.avg.pctnhotheralone,ratio.to.state.avg.pctnhmulti,ratio.to.state.avg.pctnhwa,ratio.to.state.avg.pm,ratio.to.state.avg.o3,ratio.to.state.avg.no2,ratio.to.state.avg.dpm,ratio.to.state.avg.rsei,ratio.to.state.avg.traffic.score,ratio.to.state.avg.pctpre1960,ratio.to.state.avg.proximity.npl,ratio.to.state.avg.proximity.rmp,ratio.to.state.avg.proximity.tsdf,ratio.to.state.avg.ust,ratio.to.state.avg.proximity.npdes,ratio.to.state.avg.drinking,ratio.to.state.avg.pctdisability,ratio.to.state.avg.lowlifex,Demog.Index,Demog.Index.Supp,pctlowinc,pctlingiso,pctunemployed,pctlths,pctunder5,pctover64,pctmin,pcthisp,pctnhba,pctnhaa,pctnhaiana,pctnhnhpia,pctnhotheralone,pctnhmulti,pctnhwa,Demog.Index.State,Demog.Index.Supp.State,pctpoor,occupiedunits,pctmale,pctfemale,lifexyears,percapincome,pctownedunits,pctunder18,pctover17,pctlan_nonenglish,pctlan_ie,pctlan_api,pctlan_other,pctlan_english,pctlan_spanish,pctlan_french,pctlan_rus_pol_slav,pctlan_other_ie,pctlan_vietnamese,pctlan_other_asian,pctlan_arabic,pctspanish_li,pctie_li,pctapi_li,pctother_li,pctdisability,lowlifex,rateheartdisease,rateasthma,ratecancer,yesno_houseburden,yesno_fooddesert,pctnobroadband,pctnohealthinsurance,yesno_transdis,pctfire30,pctflood30,pm,o3,no2,dpm,rsei,traffic.score,pctpre1960,proximity.npl,proximity.rmp,proximity.tsdf,ust,proximity.npdes,drinking,num_school,num_church,num_hospital,yesno_tribal,yesno_impwaters,yesno_airnonatt,yesno_cejstdis,yesno_iradis,count.NPL,count.TSDF,num_airpoll,num_tri,num_waterdis,num_brownfield,sitecount_max,sitecount_unique,sitecount_avg,distance_min,distance_min_avgperson,pctile.Demog.Index,pctile.Demog.Index.Supp,pctile.pctlowinc,pctile.pctlingiso,pctile.pctunemployed,pctile.pctlths,pctile.pctunder5,pctile.pctover64,pctile.pctmin,pctile.pcthisp,pctile.pctnhba,pctile.pctnhaa,pctile.pctnhaiana,pctile.pctnhnhpia,pctile.pctnhotheralone,pctile.pctnhmulti,pctile.pctnhwa,pctile.pctdisability,pctile.lowlifex,pctile.pm,pctile.o3,pctile.no2,pctile.dpm,pctile.rsei,pctile.traffic.score,pctile.pctpre1960,pctile.proximity.npl,pctile.proximity.rmp,pctile.proximity.tsdf,pctile.ust,pctile.proximity.npdes,pctile.drinking,state.pctile.Demog.Index,state.pctile.Demog.Index.Supp,state.pctile.pctlowinc,state.pctile.pctlingiso,state.pctile.pctunemployed,state.pctile.pctlths,state.pctile.pctunder5,state.pctile.pctover64,state.pctile.pctmin,state.pctile.pcthisp,state.pctile.pctnhba,state.pctile.pctnhaa,state.pctile.pctnhaiana,state.pctile.pctnhnhpia,state.pctile.pctnhotheralone,state.pctile.pctnhmulti,state.pctile.pctnhwa,state.pctile.pctdisability,state.pctile.lowlifex,state.pctile.pm,state.pctile.o3,state.pctile.no2,state.pctile.dpm,state.pctile.rsei,state.pctile.traffic.score,state.pctile.pctpre1960,state.pctile.proximity.npl,state.pctile.proximity.rmp,state.pctile.proximity.tsdf,state.pctile.ust,state.pctile.proximity.npdes,state.pctile.drinking,avg.Demog.Index,avg.Demog.Index.Supp,avg.pctlowinc,avg.pctlingiso,avg.pctunemployed,avg.pctlths,avg.pctunder5,avg.pctover64,avg.pctmin,avg.pcthisp,avg.pctnhba,avg.pctnhaa,avg.pctnhaiana,avg.pctnhnhpia,avg.pctnhotheralone,avg.pctnhmulti,avg.pctnhwa,avg.pctdisability,avg.lowlifex,avg.pm,avg.o3,avg.no2,avg.dpm,avg.rsei,avg.traffic.score,avg.pctpre1960,avg.proximity.npl,avg.proximity.rmp,avg.proximity.tsdf,avg.ust,avg.proximity.npdes,avg.drinking,state.avg.Demog.Index,state.avg.Demog.Index.Supp,state.avg.pctlowinc,state.avg.pctlingiso,state.avg.pctunemployed,state.avg.pctlths,state.avg.pctunder5,state.avg.pctover64,state.avg.pctmin,state.avg.pcthisp,state.avg.pctnhba,state.avg.pctnhaa,state.avg.pctnhaiana,state.avg.pctnhnhpia,state.avg.pctnhotheralone,state.avg.pctnhmulti,state.avg.pctnhwa,state.avg.pctdisability,state.avg.lowlifex,state.avg.pm,state.avg.o3,state.avg.no2,state.avg.dpm,state.avg.rsei,state.avg.traffic.score,state.avg.pctpre1960,state.avg.proximity.npl,state.avg.proximity.rmp,state.avg.proximity.tsdf,state.avg.ust,state.avg.proximity.npdes,state.avg.drinking,lowinc,lingiso,unemployed,lths,under5,over64,mins,hisp,nhba,nhaa,nhaiana,nhnhpia,nhotheralone,nhmulti,nhwa,ba,aa,aiana,nhpia,otheralone,multi,wa,age25up,hhlds,unemployedbase,pre1960,builtunits,povknownratio,ownedunits,poor,female,male,over17,under18,lan_nonenglish,lan_ie,lan_api,lan_other,lan_universe,lan_eng_na,lan_spanish,spanish_li,ie_li,api_li,other_li,pctile.EJ.DISPARITY.pm.eo,pctile.EJ.DISPARITY.o3.eo,pctile.EJ.DISPARITY.no2.eo,pctile.EJ.DISPARITY.dpm.eo,pctile.EJ.DISPARITY.rsei.eo,pctile.EJ.DISPARITY.traffic.score.eo,pctile.EJ.DISPARITY.pctpre1960.eo,pctile.EJ.DISPARITY.proximity.npl.eo,pctile.EJ.DISPARITY.proximity.rmp.eo,pctile.EJ.DISPARITY.proximity.tsdf.eo,pctile.EJ.DISPARITY.ust.eo,pctile.EJ.DISPARITY.proximity.npdes.eo,pctile.EJ.DISPARITY.drinking.eo,pctile.EJ.DISPARITY.pm.supp,pctile.EJ.DISPARITY.o3.supp,pctile.EJ.DISPARITY.no2.supp,pctile.EJ.DISPARITY.dpm.supp,pctile.EJ.DISPARITY.rsei.supp,pctile.EJ.DISPARITY.traffic.score.supp,pctile.EJ.DISPARITY.pctpre1960.supp,pctile.EJ.DISPARITY.proximity.npl.supp,pctile.EJ.DISPARITY.proximity.rmp.supp,pctile.EJ.DISPARITY.proximity.tsdf.supp,pctile.EJ.DISPARITY.ust.supp,pctile.EJ.DISPARITY.proximity.npdes.supp,pctile.EJ.DISPARITY.drinking.supp,state.pctile.EJ.DISPARITY.pm.eo,state.pctile.EJ.DISPARITY.o3.eo,state.pctile.EJ.DISPARITY.no2.eo,state.pctile.EJ.DISPARITY.dpm.eo,state.pctile.EJ.DISPARITY.rsei.eo,state.pctile.EJ.DISPARITY.traffic.score.eo,state.pctile.EJ.DISPARITY.pctpre1960.eo,state.pctile.EJ.DISPARITY.proximity.npl.eo,state.pctile.EJ.DISPARITY.proximity.rmp.eo,state.pctile.EJ.DISPARITY.proximity.tsdf.eo,state.pctile.EJ.DISPARITY.ust.eo,state.pctile.EJ.DISPARITY.proximity.npdes.eo,state.pctile.EJ.DISPARITY.drinking.eo,state.pctile.EJ.DISPARITY.pm.supp,state.pctile.EJ.DISPARITY.o3.supp,state.pctile.EJ.DISPARITY.no2.supp,state.pctile.EJ.DISPARITY.dpm.supp,state.pctile.EJ.DISPARITY.rsei.supp,state.pctile.EJ.DISPARITY.traffic.score.supp,state.pctile.EJ.DISPARITY.pctpre1960.supp,state.pctile.EJ.DISPARITY.proximity.npl.supp,state.pctile.EJ.DISPARITY.proximity.rmp.supp,state.pctile.EJ.DISPARITY.proximity.tsdf.supp,state.pctile.EJ.DISPARITY.ust.supp,state.pctile.EJ.DISPARITY.proximity.npdes.supp,state.pctile.EJ.DISPARITY.drinking.supp,bgcount_near_site,blockcount_near_site,radius.miles,disability,disab_universe,areawater,arealand,area,pctba,pctaa,pctaiana,pctnhpia,pctotheralone,pctmulti,pctwa,EJ.DISPARITY.pm.eo,EJ.DISPARITY.o3.eo,EJ.DISPARITY.no2.eo,EJ.DISPARITY.dpm.eo,EJ.DISPARITY.rsei.eo,EJ.DISPARITY.traffic.score.eo,EJ.DISPARITY.pctpre1960.eo,EJ.DISPARITY.proximity.npl.eo,EJ.DISPARITY.proximity.rmp.eo,EJ.DISPARITY.proximity.tsdf.eo,EJ.DISPARITY.ust.eo,EJ.DISPARITY.proximity.npdes.eo,EJ.DISPARITY.drinking.eo,state.EJ.DISPARITY.pm.eo,state.EJ.DISPARITY.o3.eo,state.EJ.DISPARITY.no2.eo,state.EJ.DISPARITY.dpm.eo,state.EJ.DISPARITY.rsei.eo,state.EJ.DISPARITY.traffic.score.eo,state.EJ.DISPARITY.pctpre1960.eo,state.EJ.DISPARITY.proximity.npl.eo,state.EJ.DISPARITY.proximity.rmp.eo,state.EJ.DISPARITY.proximity.tsdf.eo,state.EJ.DISPARITY.ust.eo,state.EJ.DISPARITY.proximity.npdes.eo,state.EJ.DISPARITY.drinking.eo,EJ.DISPARITY.pm.supp,EJ.DISPARITY.o3.supp,EJ.DISPARITY.no2.supp,EJ.DISPARITY.dpm.supp,EJ.DISPARITY.rsei.supp,EJ.DISPARITY.traffic.score.supp,EJ.DISPARITY.pctpre1960.supp,EJ.DISPARITY.proximity.npl.supp,EJ.DISPARITY.proximity.rmp.supp,EJ.DISPARITY.proximity.tsdf.supp,EJ.DISPARITY.ust.supp,EJ.DISPARITY.proximity.npdes.supp,EJ.DISPARITY.drinking.supp,state.EJ.DISPARITY.pm.supp,state.EJ.DISPARITY.o3.supp,state.EJ.DISPARITY.no2.supp,state.EJ.DISPARITY.dpm.supp,state.EJ.DISPARITY.rsei.supp,state.EJ.DISPARITY.traffic.score.supp,state.EJ.DISPARITY.pctpre1960.supp,state.EJ.DISPARITY.proximity.npl.supp,state.EJ.DISPARITY.proximity.rmp.supp,state.EJ.DISPARITY.proximity.tsdf.supp,state.EJ.DISPARITY.ust.supp,state.EJ.DISPARITY.proximity.npdes.supp,state.EJ.DISPARITY.drinking.supp,area_sqmi,row_id,index_right,DWATER,P_DWATER,P_D2_DWATER,P_D5_DWATER,ID,ST_ABBREV
0,IWAHOLD,AZ Removal Operation Coord Center (Arocc),"6335 South Downwind, Suite 104",Mesa,Maricopa,04013,"Phoenix-Mesa-Chandler, AZ",38060,Metro,"Phoenix-Mesa, AZ",429,AZ,04,85212,"6335 South Downwind, Suite 104, Mesa, AZ 85212",33.30339444,-111.6627399,Phoenix,District of Arizona,9,345.0,304.0,101.66575342465754,60.06301369863014,777.0,499.0,POINT (-1442450.9413873134 1256298.522754475),777.0,499.0,688.0,89.0,151.0,3.0,AZ REM OP COORD CENTER (AROCC),"<a href=""https://ejamapi-84652557241.us-central1.run.app/report?lat=33.303394440000&lon=-111.662739900000&buffer=3&sitetype=latlon&validate_regids=FALSE"" target=""_blank"">EJAM Site Report</a>","<a href=""https://pedp-ejscreen.azurewebsites.net/index.html?wherestr=33.30339444,-111.6627399"" target=""_blank"">EJSCREEN</a>",1.0,True,,48492.7,-111.6627,33.3034,AZ,Arizona,1.0,9.0,0.6781,0.5733,0.4484,0.1676,0.6394,0.2159,1.4699,0.4586,0.9264,1.1566,0.3484,1.1031,0.2532,0.1501,0.8979,1.7144,1.0639,0.9425,1.2114,1.3266,1.3159,0.1629,0.8174,0.0533,2.1419,0.2034,0.214,0.0577,0.0017,7.3643,0.5426,0.9084,0.644,0.5067,0.4345,0.1992,0.6337,0.2098,1.548,0.3944,0.8297,0.6893,1.1256,1.8048,0.0396,0.1464,1.1782,1.7615,1.1531,1.0764,1.0421,1.1177,1.2043,0.2676,0.7452,0.1817,2.0867,0.2141,0.507,0.1274,0.0367,8.867,0.524,0.9105,0.9092,0.9415,0.1364,0.0081,0.0359,0.0244,0.0792,0.0816,0.3667,0.2051,0.0429,0.055,0.0015,0.0002,0.0037,0.0584,0.6333,0.9839,0.7248,0.0695,15255.0,0.496,0.504,28.6765,41602.7575,0.7618,0.3324,0.6676,0.1407,0.0186,0.0398,0.0047,0.8585,0.0777,0.0042,0.0021,0.0069,0.0058,0.0133,0.0005,0.49,0.0,0.51,0.0,0.0738,0.1774,2.4353,9.5979,3.9567,0.0,1.0,0.0226,0.055,1.0,0.8798,0.2,7.9612,74.9265,10.4088,0.2514,751.4167,1379124.5774,0.016,0.8456,0.116,0.7566,0.2099,1169.4129,16.3096,21.9,3.3,1.0,0.0,0.0,1.0,0.0,1.0,3.8,3.6,3.1,7.5,129.0,0.0,1.0,1.0,1.0,0.4682,2.5826,37.0,13.0,25.0,58.0,49.0,22.0,76.0,18.0,55.0,72.0,58.0,76.0,84.0,95.0,86.0,80.0,45.0,13.0,33.0,43.0,93.0,77.0,76.0,54.0,62.0,18.0,90.0,35.0,40.0,37.0,74.0,97.0,33.0,13.0,23.0,52.0,48.0,25.0,77.0,25.0,45.0,47.0,73.0,82.0,61.0,92.0,86.0,81.0,54.0,12.0,28.0,55.0,60.0,57.0,57.0,62.0,47.0,54.0,94.0,41.0,52.0,37.0,52.0,96.0,1.3407,1.6423,0.3041,0.0481,0.0561,0.1131,0.0539,0.1779,0.3958,0.1773,0.1231,0.0498,0.006,0.0015,0.0041,0.034,0.5952,0.1361,0.1953,8.4473,61.8496,7.8464,0.1911,4611.7526,1687230.4924,0.2999,0.3948,0.5703,3.5356,3.6375,701805.4234,2.2147,1.5278,1.4306,0.3139,0.0405,0.0567,0.1164,0.0512,0.2069,0.442,0.2976,0.0381,0.0305,0.0381,0.0015,0.0031,0.0331,0.5492,0.1409,0.1949,7.3964,71.9029,9.3124,0.2088,2807.5511,1850635.4405,0.0881,0.4052,0.5417,1.4925,1.6473,31896.7261,1.8394,6538.5,123.0,881.7,679.4,3842.7,3956.6,17782.9,9946.3,2079.3,2666.1,73.2,11.0,177.0,2830.1,30709.8,2416.3,2721.0,142.2,11.0,1908.4,5482.7,35811.3,27826.6,15255.0,34367.8,255.8,15989.8,47938.2,11621.0,1060.3,24439.7,24053.1,32372.5,16120.3,15589.8,2061.1,4405.6,517.0,110819.0,138.3,8606.2,60.2,0.0,62.7,0.0,44.0,70.0,61.0,61.0,49.0,54.0,16.0,73.0,40.0,42.0,31.0,62.0,81.0,30.0,63.0,53.0,53.0,36.0,44.0,15.0,66.0,30.0,28.0,27.0,50.0,74.0,51.0,53.0,53.0,53.0,51.0,46.0,49.0,74.0,44.0,50.0,32.0,47.0,76.0,37.0,39.0,42.0,40.0,40.0,34.0,48.0,69.0,37.0,38.0,30.0,31.0,65.0,35.0,804.0,3.0,3529.6,47818.8,86986.0,81208797.0,0.0,0.0498,0.0561,0.0029,0.0002,0.0394,0.1131,0.7385,39.0568,84.1425,70.1737,68.8795,46.5696,56.7518,6.0073,78.5893,28.174,36.1208,14.7051,67.0325,69.8026,54.7843,59.7939,61.7292,59.5173,54.9573,46.8062,16.2371,90.8395,35.2077,51.36,16.5474,49.2123,73.7438,40.1532,87.0969,72.009,70.4358,48.7277,57.99,6.3523,81.0069,29.7212,37.3847,14.8672,69.6236,66.5397,40.1814,43.8448,45.3192,43.0055,41.0464,34.0793,12.4213,66.8327,26.2385,37.7643,11.7311,36.4398,50.3211,28.2743,0.0,6982.0,1.0,78.0,0.0,73.0,040135228011,AZ
1,ABRXSPA,Abraxas Academy,1000 Academy Drive,Morgantown,Berks,42011,"Reading, PA",39740,Metro,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428,PA,42,19543,"1000 Academy Drive, Morgantown, PA 19543",40.19181355,-75.91580532,Philadelphia,Eastern District of Pennsylvania,3,44.0,43.0,0.5671232876712329,0.5616438356164384,5.0,5.0,POINT (1682445.8032004687 2086916.2264706497),5.0,5.0,5.0,0.0,1.0,3.0,ABRAXAS ACADEMY,"<a href=""https://ejamapi-84652557241.us-central1.run.app/report?lat=40.191813550000&lon=%20-75.915805320000&buffer=3&sitetype=latlon&validate_regids=FALSE"" target=""_blank"">EJAM Site Report</a>","<a href=""https://pedp-ejscreen.azurewebsites.net/index.html?wherestr=40.19181355,-75.91580532"" target=""_blank"">EJSCREEN</a>",2.0,True,,4772.8,-75.9158,40.1918,PA,Pennsylvania,1.0,3.0,0.4123,0.7252,0.6089,0.2011,0.3725,1.1588,0.8525,1.0713,0.1869,0.1272,0.0435,0.3713,0.0,0.0,2.1778,0.55,1.5557,1.0391,0.9679,0.5341,0.7104,1.1079,0.1474,0.6638,0.3525,0.2092,0.3998,0.0584,0.0008,0.1034,0.7558,0.799,0.5184,0.7419,0.6591,0.405,0.3754,1.5169,0.9123,0.9955,0.2961,0.2939,0.0492,0.5957,0.0,0.0,2.5677,0.6443,1.2578,1.0796,1.0001,0.6201,0.7948,1.2675,0.1785,0.4146,0.3959,0.217,0.5599,0.0604,0.0901,0.2203,0.7056,0.7903,0.5528,1.191,0.1852,0.0097,0.0209,0.131,0.046,0.1906,0.074,0.0226,0.0054,0.0185,0.0,0.0,0.0089,0.0187,0.926,0.5914,1.1295,0.0557,1733.2,0.5144,0.4856,82.2847,42065.7413,0.8733,0.2456,0.7544,0.103,0.0563,0.0062,0.0011,0.8986,0.0395,0.0021,0.0001,0.0,0.0027,0.0014,0.0,0.0,0.7772,0.2228,0.0,0.1028,0.1561,5.7126,10.3755,7.0635,0.0,0.0,0.1742,0.001,1.0,0.0,0.0006,8.7775,59.8664,4.191,0.1357,5109.4741,248728.4976,0.1991,0.1391,0.1193,1.4135,0.2125,573.5475,0.229,0.1,6.1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1,3.7,1.4,14.2,0.0,1.0,1.0,1.0,0.2694,2.3712,17.0,28.0,35.0,58.0,36.0,68.0,49.0,62.0,16.0,30.0,37.0,61.0,0.0,0.0,89.0,50.0,84.0,32.0,15.0,69.0,47.0,16.0,42.0,86.0,28.0,48.0,65.0,36.0,52.0,37.0,70.0,74.0,29.0,30.0,38.0,69.0,35.0,78.0,52.0,53.0,34.0,50.0,41.0,69.0,0.0,0.0,91.0,55.0,66.0,24.0,11.0,82.0,48.0,15.0,37.0,84.0,26.0,20.0,55.0,27.0,46.0,26.0,60.0,84.0,1.3407,1.6423,0.3041,0.0481,0.0561,0.1131,0.0539,0.1779,0.3958,0.1773,0.1231,0.0498,0.006,0.0015,0.0041,0.034,0.5952,0.1361,0.1953,8.4473,61.8496,7.8464,0.1911,4611.7526,1687230.4924,0.2999,0.3948,0.5703,3.5356,3.6375,701805.4234,2.2147,1.1408,1.5224,0.281,0.0239,0.0557,0.0864,0.0504,0.1915,0.2499,0.0768,0.1086,0.0311,0.0007,0.0002,0.0034,0.0291,0.7362,0.1457,0.1975,8.1302,59.8612,6.758,0.1708,4031.2281,1393717.5492,0.4802,0.3514,0.5498,2.5243,3.5185,6363.0237,1.0396,870.5,16.8,54.0,429.1,219.4,909.6,353.2,107.7,25.5,88.3,0.0,0.0,42.3,89.4,4419.7,29.4,88.3,0.0,0.0,73.8,121.1,4460.1,3274.7,1733.2,3725.3,362.5,1820.7,4700.3,1513.7,96.5,2317.7,2455.1,3600.6,1172.3,951.8,520.1,57.0,9.9,9240.8,6.6,364.8,0.0,13.0,3.7,0.0,43.0,33.0,14.0,31.0,49.0,20.0,33.0,61.0,31.0,34.0,34.0,43.0,74.0,57.0,41.0,14.0,38.0,68.0,22.0,40.0,65.0,30.0,44.0,34.0,59.0,73.0,60.0,44.0,18.0,37.0,59.0,26.0,22.0,56.0,27.0,41.0,27.0,49.0,83.0,70.0,47.0,15.0,37.0,70.0,22.0,22.0,56.0,24.0,43.0,24.0,54.0,82.0,9.0,192.0,3.0,522.5,5079.5,399321.7,58202694.9,0.0,0.0062,0.0185,0.0,0.0,0.0155,0.0254,0.9345,38.0047,26.177,8.5446,22.8694,46.285,13.9265,26.7516,34.9677,14.3955,26.3142,19.7377,38.6133,21.853,48.4743,28.2599,8.8173,21.7939,47.8596,13.5938,12.7643,31.1368,12.9657,25.0033,13.8726,34.9842,26.1454,81.8719,56.4232,18.9424,49.7596,100.3178,30.1357,58.0996,76.0482,30.146,58.0742,42.8082,83.2024,44.8233,92.5448,54.1197,17.6688,42.1411,92.025,25.5647,25.1604,60.4361,25.1713,49.2048,26.4399,67.2618,50.0426,28.2743,1.0,182415.0,0.0,0.0,0.0,0.0,420110117031,PA
2,ADAMSMS,Adams County Correctional Center,20 Hobo Forks Road,Natchez,Adams,28001,"Natchez, MS-LA",35020,Micro,,,MS,28,39120,"20 Hobo Forks Road, Natchez, MS 39120",31.55764769,-91.22127871,New Orleans,Southern District of Mississippi,5,365.0,365.0,2197.3205479452054,2158.8356164383563,2632.0,2563.0,POINT (451689.620710607 953874.10401497),2632.0,2563.0,2632.0,1.0,321.0,0.0,ADAMS COUNTY CORRECTIONAL CENTER,"<a href=""https://ejamapi-84652557241.us-central1.run.app/report?lat=31.557647690000&lon=%20-91.221278710000&buffer=3&sitetype=latlon&validate_regids=FALSE"" target=""_blank"">EJAM Site Report</a>","<a href=""https://pedp-ejscreen.azurewebsites.net/index.html?wherestr=31.55764769,-91.22127871"" target=""_blank"">EJSCREEN</a>",3.0,True,,2270.5,-91.2213,31.5576,MS,Mississippi,1.0,4.0,1.2567,1.2489,1.5968,0.0,2.3912,3.178,1.3531,0.5156,0.9771,0.8185,1.1244,0.9767,2.7552,0.0,8.7286,0.0775,1.0302,0.8849,0.8457,0.3605,0.1965,0.0067,0.0441,0.5925,0.0,0.1997,0.0,0.0158,1.1083e-07,0.0,0.8645,0.9977,0.9735,0.9948,1.1354,0.0,1.9335,2.4507,1.2691,0.5159,0.8463,4.6853,0.3539,5.7956,4.858,0.0,13.2784,0.1304,1.1345,0.8485,0.9807,0.5907,0.4535,0.015,0.2506,1.0879,0.0,0.2947,0.0,0.0201,0.0004,0.0,0.6526,0.8518,1.6849,2.0512,0.4857,0.0,0.1343,0.3593,0.0729,0.0917,0.3868,0.1452,0.1384,0.0487,0.0164,0.0,0.0355,0.0026,0.6132,1.6625,1.5343,0.2348,428.7,0.7626,0.2374,78.5,10511.1049,0.86,0.1607,0.8393,0.291,0.0194,0.0338,0.0244,0.71,0.2135,0.01,0.01,0.01,0.0,0.03,0.0,,,,,0.1176,0.1949,6.8,9.7,5.5,1.0,1.0,0.1499,0.0013,1.0,0.001,0.0007,7.4751,52.3058,2.8287,0.0376,30.7353,74476.9822,0.1777,0.0,0.1139,0.0,0.0575,0.0778,0.0,0.0,18.9,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.7,0.7,3.6,0.0,1.0,1.0,1.0,0.0595,1.1443,69.0,75.0,80.0,0.0,89.0,95.0,72.0,22.0,57.0,65.0,75.0,75.0,94.0,0.0,96.0,29.0,43.0,43.0,50.0,29.0,8.0,5.0,4.0,14.0,15.0,46.0,0.0,35.0,0.0,31.0,14.0,0.0,51.0,51.0,60.0,0.0,83.0,95.0,68.0,17.0,46.0,94.0,30.0,94.0,96.0,0.0,97.0,48.0,53.0,17.0,16.0,3.0,46.0,19.0,6.0,14.0,41.0,66.0,0.0,49.0,0.0,25.0,9.0,0.0,1.3407,1.6423,0.3041,0.0481,0.0561,0.1131,0.0539,0.1779,0.3958,0.1773,0.1231,0.0498,0.006,0.0015,0.0041,0.034,0.5952,0.1361,0.1953,8.4473,61.8496,7.8464,0.1911,4611.7526,1687230.4924,0.2999,0.3948,0.5703,3.5356,3.6375,701805.4234,2.2147,1.7077,1.5423,0.4277,0.0081,0.0694,0.1466,0.0575,0.1778,0.457,0.031,0.3911,0.0084,0.0034,0.0003,0.0027,0.0202,0.5405,0.1802,0.2288,8.8103,53.3371,4.7885,0.0828,2053.3736,297192.7331,0.1633,0.0613,0.3865,0.4513,2.8648,179.41,5.9538,577.6,0.0,50.5,581.7,165.6,208.3,878.2,329.6,314.2,110.5,37.3,0.0,80.6,6.0,1392.3,314.2,110.5,37.3,0.0,339.6,6.0,1462.9,1618.7,428.7,1919.8,101.1,569.0,1189.2,368.7,100.7,539.0,1731.6,1905.7,364.8,1840.4,122.6,213.5,154.3,6324.6,461.4,1350.0,0.0,0.0,0.0,0.0,50.0,18.0,16.0,9.0,28.0,31.0,66.0,0.0,53.0,0.0,55.0,29.0,0.0,43.0,11.0,9.0,5.0,21.0,21.0,61.0,0.0,46.0,0.0,47.0,20.0,0.0,4.0,57.0,33.0,11.0,21.0,51.0,65.0,0.0,60.0,0.0,35.0,13.0,0.0,3.0,53.0,28.0,7.0,17.0,50.0,65.0,0.0,56.0,0.0,29.0,10.0,0.0,3.0,37.0,3.0,163.0,1389.4,159061.8,168297948.3,0.0,0.1384,0.0487,0.0164,0.0,0.1496,0.0026,0.6443,48.862,13.4792,10.3081,6.4656,22.8815,24.0165,76.5311,0.0,49.8008,0.0,51.5229,22.8022,0.0,4.9875,76.4748,36.3379,10.9951,23.2121,65.3518,107.4816,0.0,70.706,0.0,38.3833,13.8623,0.0,59.4838,16.4093,12.5079,7.865,27.8818,29.2634,93.1175,0.0,60.5992,0.0,62.7614,27.7903,0.0,4.603,70.5792,33.5227,10.1032,21.4415,60.18,99.4147,0.0,65.0403,0.0,35.3135,12.7058,0.0,28.2743,2.0,120055.0,0.0,0.0,0.0,0.0,280010001012,MS
